Exchange,Sector,Ticker,Year,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),Budget sources and other funds,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),symbol_x,Short-term investments (Bn. VND),Long-term loans receivables (Bn. VND),Investment in properties,Other Reserves,MINORITY INTERESTS,Short-term loans receivables (Bn. VND),Other current assets (Bn. VND),Convertible bonds (Bn. VND),Good will (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Goodwill,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company,symbol_y,Interest Expenses,Gain/(loss) from joint ventures,Net income from associated companies,Minority Interest,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,symbol,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Increase in charter captial,Finance lease principal payments,Payments for share repurchases,Interest income and dividends,Sentiment Score,Positive Ratio,Negative Ratio,Neutral Ratio,News Volume,Sentiment Change,News Shock
HSX,Chemicals,AAA,2023,5681580248153,2435058282483,1204888211832,781680229197,180343538641,5901865257763,2012981059510,1328109477624,863936958974,11583445505916,5619574565686,3737041187457,1882533378229,5963870940230,5963870940230,562622505805,,11583445505916,342180956924,783390158893,80481616464,3822744960000,3822744960000,358856724282,119139197505,2625493361179,801659156249,0,AAA,1079609986000,77154150000,1317994843520,18751291534,619705409043,62876744806,0,0,47798795134,5143119278,82297269278,,-0.175420156707682,12628191473898,289410548684,0.89653876874518,242681115061,12628191473898,-6677328951,12621514144947,-11512820822177,1108693322770,-239294342399,-511055878824,-285281847427,368683501946,16181309264,-6969256261,9212053003,377895554949,-77937805250,9236073435,309193823134,289410548684,AAA,-190476045845,52941132765,0,19783274450,2615215818513,-643183016026,8127328351,171361258250,-1599360204269,6422374307663,-6658111047622,-127343500,-235864083459,779991530785,1642978052440,12088699258,2435058282483,AAA,377895554949,330970771702,-56710295885,-12523193184,0,-231549336110,210817673605,618901175077,493380052845,934094908854,897226271918,-49793260364,-189465740542,-60118099537,0,-29009489738,-2260926390806,1870983530000,-747422914038,1700000000,0,0,,,0.273,0.358,0.18,0.462,494,0.03,0.004
HSX,Chemicals,AAA,2022,5658759199548,1642978052440,1572889266273,1790091357848,204144522987,5137073482164,2077430539271,1493973537488,308096053622,10795832681712,4624647264247,3206482597038,1418164667209,6171185417465,6171185417465,721688030767,,10795832681712,248850786806,1861071739241,80481616464,3822744960000,3822744960000,1242368724012,146454658944,1887821444978,270203822136,0,AAA,448656000000,940160000,497283341861,44744930000,651298108490,176995600000,0,0,32469590996,15735626640,66843405856,,0.164260808858939,15314698238896,152599331716,-0.474232361207977,214482862553,15314698238896,-24401165809,15290297073087,-14204057189374,1086239883713,-257402705272,-666097260650,-247607549844,187294170069,8605911082,-9833969448,-1228058366,186066111703,-72085473962,3310630196,117291267937,152599331716,AAA,-173679772675,57678939569,0,-35308063779,97095210426,-168326440417,5988373461,83303941711,-1093758714092,7891352976594,-8114479429801,-152250000,630942186793,-365721316873,1988170740182,20528629131,1642978052440,AAA,186066111703,311000570200,73936091176,-4669068884,0,-156540830449,181957153241,591750026987,304186124644,-847407721366,327368540329,51049352896,-170167746226,-115734842267,0,-43948524571,-627265480000,566435708400,-954294817247,400000000,854220890000,0,,,0.185,0.301,0.18,0.519,499,-0.088,0.012
HSX,Chemicals,AAA,2021,5354610509760,1988170740182,1795468441466,997384835429,137430492683,4654916125531,2100839611952,569909270071,325676975272,10009526635291,4555144898241,3282339419557,1272805478684,5454381737050,5454381737050,706493529920,,10009526635291,369721515275,997384835429,80481616464,3264344960000,3264344960000,1175997845832,147979129414,2183181098128,287014288216,17995000000,AAA,436156000000,44699588400,526347470213,26544930000,659890646972,84906400000,0,0,36550676761,16438046128,278966433205,,0.768428129369982,13154009928330,290241012297,0.106772826956741,213876129052,13154009928330,-10900064329,13143109864001,-11841734480539,1301375383462,-199733463745,-738538104564,-194751557339,405101528404,8617829548,-15851305956,-7233476408,397868051996,-97803195967,24078168390,324143024419,290241012297,AAA,-151665660549,22873141538,0,33902012122,443620282772,-668611230534,6450677615,146047740641,-150390199871,8908162396049,-9166083799630,-148545935501,739244815406,1032474898307,963717122052,-8021280177,1988170740182,AAA,397868051996,315934993090,-1790578283,5222727270,0,-136349091691,160990151352,741876253734,11880702848,55068047660,-54712879349,-22657668375,-151210894500,-91995191514,0,-44628087732,-1621059878400,2039289323027,-400404312220,347897480000,1145712154488,0,,,0.281,0.364,0.18,0.456,505,0.096,0.02
HSX,Chemicals,AAA,2020,4496050828524,963717122052,1669170204812,946809379604,157754122056,4073363572384,2325026613214,488178292178,277269221328,8569414400908,4545451942407,3772834861366,772617081041,4023962458501,4023962458501,568716740171,,8569414400908,790942957319,947201357809,80481616464,2217599740000,2217599740000,617146847843,106523885106,2943359269628,261846885299,17353094158,AAA,758600000000,114055000000,447748684374,26544930000,426375132551,42643890561,0,0,15191976499,17129962668,173910564469,,-0.198313445631187,7438249657913,262240818737,-0.43048809223931,168671082125,7438249657913,-9692642869,7428557015044,-6651621793680,776935221364,-228577022279,-255844520030,-166965892910,310923164415,15725066538,-7899714407,7825352131,318748516546,-35806612917,230907050,283172810679,262240818737,AAA,-201246469116,16704296145,0,20931991942,612538718206,-271433582812,4112727274,135925582576,34701081384,6929547159005,-7365247885274,-108671913000,25588860731,672828660321,291674680985,-786219254,963717122052,AAA,318748516546,287129075280,12264308359,530341283,0,-146635069619,206334281030,678371452879,12441026520,257146509042,-92417605498,-10735054369,-199338047060,-49594962419,0,-43004620889,-1763101249909,2683864408389,-847349584134,92682780000,569961500000,0,,,0.327,0.394,0.18,0.426,513,0.046,0.027
HSX,Chemicals,AAA,2019,4971363590401,291674680985,2079278885563,1221502966657,127084955004,3016090568130,2081103918415,123559449802,198463960700,7987454158531,4732215965361,3236645563011,1495570402350,3255238193170,3255238193170,602685892796,,7987454158531,635624680580,1221855436361,67258859051,1711999760000,1711999760000,1371510124549,98696555635,2400086574603,198274060283,0,AAA,1251822102192,75700000000,222816109964,0,328341365740,536662966849,0,0,0,20667470288,96367470288,,0.157058452398259,9278251727409,460465909779,1.55444744489328,179675456151,9278251727409,-20178446735,9258073280674,-8215933902107,1042139378567,-267714576028,-214621335478,-149020821435,590401551579,9238136088,-2246314543,6991821545,597393373124,-83467221660,-22897278795,491028872669,460465909779,AAA,-225421605405,-56550198,0,30562962890,489340910473,-503894953414,8263029637,79721900455,-859852119851,8003695529793,-7889053617076,-97331913000,17309999717,-353201209661,645474843425,-598952779,291674680985,AAA,597393373124,258634288464,-2398047827,7383267849,0,-141724783637,230356969037,949645067010,-421314249089,171029824182,210732854039,-22187621370,-227770875379,-69758757749,0,-41365311171,-1993895717230,1543900258132,-82986680000,89040042569,0,0,,,0.374,0.425,0.18,0.395,522,0.047,0.032
HSX,Chemicals,AAA,2018,3989369447153,645474843425,1612785115376,862749230434,147453797644,3539797275250,2198807465735,48380000000,63216753151,7529166722403,4548916573712,3206103405725,1342813167987,2980250148691,2980250148691,265860134664,,7529166722403,531565397491,865499747965,57775383144,1711999760000,1711999760000,1342803889822,43876545842,2492406692801,62507261342,0,AAA,720906460274,0,0,0,399364492474,293698169669,0,0,0,21384352467,21384352467,,0.966959046520928,8018827145835,180260475000,-0.192897256660243,61517601742,8018827145835,-7254532446,8011572613389,-7338636540198,672936073191,-208587237486,-156562809984,-123618312196,245685315267,11209698006,-2910690089,8299007917,253984323184,-42772027927,936618304,212148913561,180260475000,AAA,-125980474352,0,0,31888438561,38540777944,-1698518453380,0,23529713725,-2628227660994,7841445629972,-6397797068409,-136131874500,2725758489063,136071606013,509577636533,-174399121,645474843425,AAA,253984323184,244951380881,2750517531,1909941812,0,-40198487758,125980474352,589378150002,-52240057820,-329364330177,10950476407,-29044239788,-124095548599,-46142737521,70000000000,-50900934560,-1226962062976,343706433033,-88309009946,18325718550,1418241802000,0,,,0.43,0.46,0.18,0.36,523,0.056,0.019
HSX,Chemicals,AAA,2017,2142716548893,509577636533,961381022420,536681725193,85076164747,2433440579906,2299486571152,0,35832904857,4576157128799,2951186840177,1990803708402,960383131775,1624970288622,1624970288622,283769575300,,4576157128799,325870456358,536681725193,45683661717,835999880000,835999880000,959926578352,17127077695,1417686392234,35612756095,0,AAA,50000000000,0,0,0,248117181134,129729000000,0,0,0,0,0,,0.900149069465513,4076763652003,223342661746,0.572996535230511,55775260107,4076763652003,-7155348862,4069608303141,-3519223197973,550385105168,-95052847758,-105724321494,-79322555685,326060640338,2388598927,-394931990,1993666937,328054307275,-64433475421,-256725898,263364105956,223342661746,AAA,-80592049351,0,0,40021444210,-80663604042,-695959760341,486363637,12513190829,-698571883875,4109992694442,-3534755293294,-99782597750,882207303398,102971815481,406676809154,-70988102,509577636533,AAA,328054307275,168028491078,0,2615280443,0,-36302695230,80592049351,542987432917,-571052443106,-86090443336,35067814498,-10902229447,-76736436738,-57458213418,156340055694,-12819141106,-349729000000,183570000000,0,150547322000,406752500000,0,,,0.344,0.414,0.18,0.406,628,-0.086,0.209
HSX,Chemicals,AAA,2016,1361646469010,406676809154,455567565640,450591281857,48810812359,1715969509727,1434278060008,44338667000,22353240435,3077615978737,2122863876413,1140284738375,982579138038,954752102324,954752102324,161862080186,,3077615978737,184015378614,450591281857,38274886929,569649880000,569649880000,982579138038,11280630943,800794847498,22332919192,0,AAA,0,0,0,0,10861333472,0,0,0,0,0,0,,0.327618773267155,2145496749447,141985475965,2.54822905187352,30198848862,2145496749447,-1726940597,2143769808850,-1836734397150,307035411700,-53927481929,-56882135462,-62622750100,165553232870,8081453308,-7037904139,1043549169,166596782039,-23692445025,20680603,142925017617,141985475965,AAA,-27284472139,1751339799,0,939541652,80169554226,-1077441959310,53621100893,12131982986,-1011688875431,2598523339565,-1728371348611,-86362442100,868037048854,-63482272351,470061718120,97363385,406676809154,AAA,166596782039,92958744347,536604972,10808822854,0,-11793166593,27284472139,286392259758,-193606733582,-236404726287,211621840946,-15992562452,-27284472139,-22514289760,82589244341,-4631006599,0,0,0,0,84247500000,0,,,0.423,0.457,0.18,0.363,579,0.079,0.038
HSX,Chemicals,AAA,2015,1071561008455,470061718120,363509670487,214186555570,23803064278,883203669585,636532208633,42587327201,12924756339,1954764678040,1135279409795,667079248529,468200161266,819485268245,819485268245,116439130668,,1954764678040,169259565534,214186555570,35950759648,494999880000,494999880000,171262661266,12300795564,438769898696,12925115705,0,AAA,0,0,0,0,9921791820,0,0,296937500000,0,0,0,,0.0327751903042844,1616048818116,40015870985,-0.147937889389129,22394967435,1616048818116,-1499870215,1614548947901,-1424741156735,189807791166,-49991756319,-75230050612,-41608410264,48754415156,1864669013,-4161615,1860507398,50614922554,-10029634651,-36474306,40548813597,40015870985,AAA,-24065811358,3381873750,0,532942612,-73349077150,-290399851419,5661363636,10369304107,-244369183676,1858860744893,-1406090290912,-1935000000,450835453981,133117193155,336807716067,136808898,470061718120,AAA,50614922554,83358285094,0,1211216521,0,-11078921256,24065811358,148171314271,-118649260136,-76664467661,-54674388479,-11267697290,-24065811358,-3294062793,73798102941,-6702806645,0,30000000000,0,0,0,0,,,0.478,0.493,0.18,0.327,608,0.055,0.054
HSX,Chemicals,AAA,2014,694379188147,336807716067,179292636069,137522087909,10756748102,727271546766,651395674675,39205453451,8097255330,1421650734913,635324911650,507673920248,127650991402,786325823263,786325823263,187992781673,,1421650734913,4571973920,137522087909,31389007730,396000000000,396000000000,127650991402,6541650794,329022191692,8061140389,0,AAA,30000000000,0,0,0,9388849208,0,0,0,0,0,0,,0.350474675292178,1564763399903,46963561091,-0.145119444722846,8331971297,1564763399903,-4119790812,1560643609091,-1377898703125,182744905966,-25896787122,-78937784265,-35977045351,56547827797,6176730992,-5524254412,652476580,57200304377,-9175466515,-243962755,47780875107,46963561091,AAA,-17187219661,6282567272,0,817314016,99299535073,-109290786977,3524270590,6706659544,-127559856843,1317734346905,-1281349175035,-19761631208,234422440662,206162118892,130266723762,378873413,336807716067,AAA,57200304377,64200062759,162105381,2986534493,0,-4761808398,17187219661,136974418273,-50808261982,62503909157,-37991421956,-1541945933,-22686784106,-14191339022,34680407297,-7639446655,-30000000000,1500000000,0,0,217798900000,0,,,0.54,0.537,0.18,0.283,529,0.062,-0.126
