Ticker,Year,Current_Ratio,Quick_Ratio,Working_Capital_to_Total_Assets,Debt_to_Assets,Debt_to_Equity,Equity_to_Liabilities,Long_Term_Debt_to_Assets,Receivables_Turnover,Inventory_Turnover,Asset_Turnover,ROA,ROE,EBIT_to_Assets,Operating_Income_to_Debt,Net_Profit_Margin,Gross_Margin,Interest_Coverage,EBITDA_to_Interest,Total_Debt_to_EBITDA
A32,2016,1.147423466129911,0.721353138900783,0.09484890543511557,0.8638682726647,2.4583733312894354,0.40677304267513037,0.00522441604333837,8.27578713778976,-4.661298965755232,1.3532322081691566,0.07843653058579773,0.22321259049854753,0.09270848187324719,0.10731784556374241,0.057962358649383414,0.10432108935906445,0.0,0.0,0.0
A32,2017,1.160875957129745,0.755874219275148,0.10348870268339624,0.9076167364063523,2.579421906118383,0.3876837665168316,0.004849133135365816,6.246602478706591,-4.18778514574404,1.2212177372644821,0.07074563824606872,0.2010571662404164,0.08394703918905302,0.09249172676281367,0.05793040510903353,0.10715884665644632,0.0,0.0,0.0
A32,2018,1.2645446920678638,0.6415422041550404,0.14986539901483517,0.571684807923491,1.334729233282419,0.7492156274578331,0.005181666834611597,5.764306264732049,-3.551735575960947,1.3782809287781397,0.09192001652147462,0.2146083496964897,0.11068247989407662,0.19360752351650623,0.0666917858342295,0.09663931359864515,0.0,0.0,0.0
A32,2019,1.4234625411449409,0.5543954373847161,0.204354082182426,0.5039027142745276,0.9800987084251315,1.0203053951645817,0.0032864540654426507,12.381721261158475,-3.340953053487516,1.5898769974723383,0.1079732054546448,0.21000958362166172,0.13162732559522491,0.26121575031547456,0.06791293013629715,0.1189902323764879,0.0,0.0,0.0
A32,2020,1.4495019435667338,0.6753069887802096,0.22652836150672387,0.5050858634103158,1.0182241105581522,0.982102063416901,0.0,5.980826546110163,-3.40762697198436,1.4920905787069718,0.08623268316390534,0.17384013981852647,0.10364021546594644,0.20519326113420128,0.057793195932269455,0.10924813568600854,0.0,0.0,0.0
A32,2021,1.3872720293713368,0.7234781140530651,0.21246703854724858,0.5486247971281295,1.2154517874209956,0.8227393388608597,0.0,5.788075923961189,-3.0106843738938047,1.2310359821298205,0.06553158886226391,0.1451820756774404,0.07589126142158474,0.13832998766889604,0.05323287849709108,0.10984629042104663,0.0,0.0,0.0
A32,2022,1.2517980347641198,0.7078953195170634,0.15272596112218362,0.6065415135795431,1.541564191682936,0.6486917673589014,0.0,4.05771746137138,-3.5344736642485906,1.3138688469252582,0.06697704374921483,0.1702264560577858,0.07934796762249627,0.13082034097587025,0.05097696311618608,0.12981568201247237,0.0,0.0,0.0
A32,2023,1.3496080561100092,0.7670985876943056,0.19339956241164521,0.5607259558503151,1.276483241653233,0.7834023725253559,0.007536293794045912,4.545913256924566,-3.9883320000146503,1.4235613416878559,0.07840621739648845,0.17849043994452615,0.09360544960034853,0.1669361808985642,0.05507751236313115,0.11547313555425179,0.0,0.0,0.0
A32,2024,1.3530463528375583,0.8040041869947671,0.19219294805070092,0.5540757406542006,1.2425332980696469,0.8048074056072079,0.009691280919725797,6.3122344410071465,-4.439506300208081,1.4660764651765081,0.0791843709910707,0.17757358863417627,0.08607032042349524,0.15534035170330954,0.05401107846140707,0.09949458381481485,0.0,0.0,0.0
AAA,2013,0.9603404499456146,0.5377811597403179,-0.01776793491750097,0.8107707697291906,1.7165404109221878,0.5825671179292329,0.07221027758908355,7.8772898615440905,-4.89422684298372,1.006030561402183,0.04821225954130582,0.10207360069500625,0.05546753004775283,0.06841333224960713,0.04792325540698152,0.15424101796662007,-3.730332322174121,-6.579623243661528,8.28716055189119
AAA,2014,1.3677661200476754,1.0165981185007174,0.13132991339847316,0.6783291280055608,1.226396329374341,0.8153970915015382,0.08979068365185475,8.704449013122842,-10.019471955928795,1.0977686507414255,0.03360943298771904,0.06076472842863623,0.03977617456122971,0.058638458705408326,0.030616134797636512,0.11709586026013981,-3.2901090992229682,-7.025446403643308,7.986450934269189
AAA,2015,1.606347387987165,1.2495837495247195,0.2069209478102321,0.8052372370822993,1.9207780413941613,0.5206223615895611,0.23951740407722844,4.441557072575158,-6.651870155638079,0.8259556590309751,0.020743578013522022,0.04948083286944116,0.024941321942078976,0.030973880483286503,0.02511463876627316,0.117560877552062,-2.025878721923621,-5.489642475988363,11.914443543371599
AAA,2016,1.1941284691317178,0.7561658468066226,0.07192636513599172,0.9499751574304013,3.0622176340794707,0.3265607215081591,0.31926632329262644,4.705712106256608,-4.076275931439143,0.6965683255029648,0.04644017271955221,0.14969856287208014,0.05379268694138382,0.056625361748288534,0.06666994610474081,0.1432221922486657,-6.067672191955687,-9.474692268188946,11.309567763109188
AAA,2017,1.076307292301027,0.7388767926968175,0.03319659623026736,0.9547035010918864,2.6885865317056794,0.3719426502391891,0.2098667298225072,4.233085746686504,-6.557374758209676,0.8893069421785912,0.05755136865790253,0.1620731823837449,0.07125206393941586,0.07463266224322573,0.064714853700473,0.13524277133580706,-4.0458164665588585,-6.130742863531231,8.84227754593657
AAA,2018,1.2443046721541657,0.7043627959000084,0.10403090677981609,0.9352061823204918,2.362661828774918,0.42325143100082063,0.17834817815781204,4.967538785550613,-8.506106156138035,1.064071617586924,0.028176944591989432,0.0711849351485415,0.03263114290403007,0.03489192385690142,0.026480308398685065,0.08399550321323734,-1.9501856659194237,-3.8945455529649773,14.351399562638896
AAA,2019,1.535961690465798,0.7325341994945963,0.217180342191665,0.8929381500545258,2.1910232421482054,0.45640775540999845,0.1872399356123573,4.452540419159415,-6.726085917410668,1.159076859400303,0.0614750160593481,0.15084268601273343,0.07391611142436688,0.08277853445936129,0.05303791164561321,0.11256547091093352,-2.619099223068103,-3.766435069600333,8.400472870029585
AAA,2020,1.1916903320004182,0.6978538482627177,0.0843950278657745,0.8738999961586055,1.8610539460213353,0.5373299372314573,0.09015984580686574,4.450449087593607,-7.025301963592734,0.8668686875799685,0.03304459294779764,0.07037163333389722,0.03628289517450051,0.041518360606464015,0.03811949078475542,0.10458763657471883,-1.5449869296130683,-2.9717402860384006,12.522001783413119
AAA,2021,1.6313396712892914,1.152726363125072,0.20702987920494748,0.6731912748612314,1.2353968462818703,0.8094564940890566,0.1271594077382658,7.3201564340889504,-11.87278376399775,1.3130600819485105,0.03238345190832058,0.05942800486757141,0.04047159702594895,0.060119016002237374,0.02466258197436425,0.09901578826685983,-2.671016807216688,-4.754118492505087,9.345332442255593
AAA,2022,1.7647871236772965,1.002926796385444,0.2271502972312756,0.6032391295075402,1.0553027123110152,0.9475954039861155,0.13136223105896708,9.721152913273887,-7.934822503388731,1.4163147506897327,0.01086449479118826,0.019006278373204497,0.017348747020345535,0.0287593197651292,0.007670960699870806,0.07104112356488676,-1.078387927300412,-2.86904302437935,13.069511240895903
AAA,2023,1.5203418863090534,0.9740182972914806,0.16787225007471807,0.7117975323192055,1.3825027418428717,0.7233258710698853,0.16251929335425594,10.475257389858871,-14.728299875262069,1.089616568619486,0.026692733433768545,0.05184448594423738,0.03182848330902085,0.04471564154671356,0.024497363753918953,0.08784154658764641,-1.9355898549364912,-3.6731877257539467,11.784488764536784
AAA,2024,1.5550447850643356,1.0212786131976452,0.16659928888263384,0.7326146873776799,1.6174396814267906,0.618261077357686,0.2468981758306452,7.097247826999329,-8.782450358764848,0.9283868692090915,0.023226091919424156,0.05127770895422439,0.03730789618358034,0.05092430827058651,0.025017686796034562,0.11610692664921857,-3.219946425654877,-5.730162238359948,11.034599853843856
AAH,2020,0.6243368212410937,0.11883984767311684,-0.29431484037334593,1.3193693225853655,6.1041889712599975,0.16382192699279832,0.000404321062641836,4.020992530551898,-0.9548984495928351,0.3705679510698456,-0.04390286035295059,-0.20312080278485425,-0.032401503473437045,-0.02455832716342441,-0.11847452060061091,0.07176615876315258,6.3814978898203805,-2.3884816235046378,108.79324857426874
AAH,2021,2.6738420386265553,0.8641279222462184,0.28104615589382415,0.24895688165522034,0.2998240851577265,3.335289089513728,0.0017520030670263864,2.4428719308620805,-1.2244868383734013,0.35247292213846065,-0.013275272814808729,-0.01598769433669038,-0.010279527430724562,-0.04129039278761794,-0.03766324157404027,0.07557678622522192,0.5435066166105962,-1.9532308607910018,6.739105322285974
AAH,2022,3.889960705004943,3.1577987776379897,0.2853183341872633,0.14048173130660307,0.1561170687779294,6.405449499070867,0.0014239549955406962,1.4752439330449274,-4.693936246771032,0.45615674395245276,0.07850631362216273,0.08724391028826106,0.08916496163784496,0.6347085902809764,0.17210381006741357,0.25617979633780835,-32.980751501876654,-51.525533773553946,1.0084715982065255
AAH,2023,2.920623294350489,2.020840919674265,0.20811154646645968,0.151297560751402,0.1698817417837235,5.886447769490734,0.0010385564932322044,0.8963882993409976,-1.5068641646864043,0.1754937404410239,0.008792490582875385,0.009872489730949055,0.012723097916223424,0.08409321242877689,0.05010144840938173,0.16284872958035154,-6.846423932285806,-37.46932789007558,2.1728359647618833
AAH,2024,1.5906659288331604,1.5014624070879443,0.1067676912700366,0.23676630337949675,0.289237169666043,3.457370299794501,0.0006530465780807754,3.035115238662089,-50.41910595433774,0.8054983511190914,0.00820842984241263,0.010027537623106337,0.02783112055723964,0.1175467968202849,0.010190498628592512,0.04673785754145947,-14.82776998859755,-37.448470570246435,3.368456599777134
AAM,2013,5.775988277110569,2.940180025400554,0.6433236691194901,0.19225766835910366,0.22484694721811657,4.4474697672009444,0.010240241131214767,8.214350879741618,-5.048051796646958,1.7660948077744116,0.027104020578171985,0.03169837820437923,0.03633219079944996,0.18897654959378674,0.015346866124547297,0.11686156866879532,-29.721441163507915,-52.03940230775912,3.0222448696019355
AAM,2014,6.298894032856557,2.8123787392928317,0.65530446586149,0.19961948039245814,0.23052787959929597,4.337870116786751,0.010408463016450206,9.242842169020143,-3.986384756048154,1.4772207587022665,0.029884086471782544,0.034511236451261265,0.039579715753629,0.19827581795030244,0.02022993942898258,0.09818542251994919,-35.24788967514719,-57.67341472789009,3.0823908331629304
AAM,2015,3.912314513056208,1.3139297583439176,0.6255405576041255,0.37972623349614826,0.48966592321211855,2.0422086826875425,0.009728235731258595,5.558395999441522,-3.1505378409584974,1.0860339777527073,0.007963390571939597,0.010268979734177458,0.010032110413735687,0.026419324051882884,0.00733254275194775,0.08514088112834262,-3.087998392832496,-9.167245296106847,12.750185740885975
AAM,2016,21.5080947348662,8.269742165249443,0.7826573762130017,0.05011696294506732,0.05276119373649685,18.95332400920003,0.011953623720658968,4.040369496008032,-2.6271067914923796,1.0654292007536847,0.006085691153449181,0.006406779483416798,0.005871135754216383,0.11714867400587849,0.0057119620422869605,0.07661222231960106,-2.0524385215153274,-9.56655806752096,1.831374100315435
AAM,2017,26.039067325101794,9.064867617305701,0.7503634750179676,0.04215123985671001,0.0440061538007361,22.72409455568627,0.012183531184681141,4.099949452505641,-4.346753042178989,0.8911935836456235,0.004498312196522685,0.00469626561488659,0.014902191903467003,0.35354100980483355,0.005047514119346943,0.0829048112027506,0.0,0.0,1.4101147679331043
AAM,2018,12.15691567602969,2.7686952459691456,0.739640331445393,0.079492340085473,0.08635706528814133,11.579828432837232,0.013198002750425392,7.015893343335085,-2.99342191791483,0.9491424781456506,0.04170843127110458,0.04531024899344932,0.04623484116802951,0.5816263695132909,0.043943277465139666,0.10594748834044203,0.0,0.0,1.2312945116714227
AAM,2019,12.366204853673771,2.191843793661097,0.7502660407096424,0.07073397732963853,0.0761181143009788,13.137477316449248,0.004725485456720868,11.30195461925142,-1.743264432672174,0.9499532974801302,0.03652109655209482,0.03930101355384426,0.031208651420285043,0.4412116015312514,0.03844514951310932,0.09781283210818231,-47.40159148324869,-76.44970464702347,1.4053036933246865
AAM,2020,11.047840247335431,2.8028934081592816,0.738919125760157,0.11527129796227505,0.1251998318853824,7.987231172286856,0.005761400702848732,7.029764640255192,-1.0112649581811763,0.5734130795783495,-0.056765903213146285,-0.06165525733416956,-0.062258640449059835,-0.5401053128545086,-0.09899652664862166,0.0012159939652654065,60.79508286097866,45.46896545670733,-2.475568411778128
AAM,2021,29.40704929009308,12.549541770502273,0.7832318890653541,0.03362226694190401,0.03479205469222327,28.742194413241148,0.006050523003736342,17.267688403485593,-1.4927396063790033,0.6669250953938684,0.001121452116038458,0.0011604697393943774,-0.004890864521282963,-0.14546504344082148,0.0016815263419892124,0.05571427887219939,9.8408894153328,-21.32132775453456,3.172937111259211
AAM,2022,22.79099818760998,2.845589087206165,0.7912918358926319,0.04137290987979318,0.04315850272352019,23.17040529432055,0.005060124706760215,17.187217122818485,-1.8135208170762396,0.9699344933742,0.07731627654650843,0.08065313127841335,0.054896868992904656,1.3268795729477243,0.07971288481301579,0.12858455044945855,0.0,0.0,0.5927692068529807
AAM,2023,18.992995409080105,4.015443472895569,0.7732915407088412,0.048020639408048224,0.05044294172322017,19.824379107130355,0.005043273876203413,9.878546000948472,-1.0675219350795133,0.6425118009448478,0.003303390612833694,0.003470023353005897,-0.02030310397019468,-0.4227995341268175,0.005141369556132483,0.006592302119790724,0.0,0.0,-6.015945979644404
AAM,2024,33.5784984049705,14.547037952635621,0.7939164327949766,0.029716075517243604,0.030626164947630964,32.65181917846862,0.005346737712716408,16.982257311454834,-1.675476893927413,0.7584921540394669,-0.031112344694548048,-0.03206519649507083,-0.018330931604241756,-0.6168691957188192,-0.04101867702764552,0.028404805047618737,0.0,0.0,-3.4031753370830584
AAT,2014,0.7525654211103182,0.5093988424048729,-0.03095355700035422,0.2861907020405562,0.35535835542439503,2.814060749481257,0.0695440348980557,1.9498006928264406,-6.036138844870264,0.11245372647304329,0.050427831962835824,0.06261542148700427,-0.04460962169538911,-0.1558737631143148,0.4484318443188636,-0.1631388634173869,5.944406526394336,5.944406526394336,-6.415447859987952
AAT,2015,1.041578826287611,0.9773881895246052,0.01037297875964656,0.4886056498488695,0.804351142930147,1.243238116573229,0.14306940129315152,1.5228552982255799,-86.83355930908488,0.3648355402610953,0.001168519876157135,0.001923637801188557,0.0017830253450883996,0.0036492114768625922,0.003202867449045346,0.07724506570866228,-0.3921484727063935,-10.788693800552778,9.960534143313257
AAT,2016,0.5601039481065005,0.3273136892741563,-0.09773279861328267,0.544849626279826,0.9160246605307405,1.0916736667554392,0.1830295265071222,1.8298686601012024,-3.988872972601092,0.129504926510399,0.0002439958488278248,0.00041021633091591563,0.00016943549745032253,0.0003109766241507949,0.0018840661541028897,0.16273257212000228,-0.04053139273439873,-12.947153386222618,10.066754773236239
AAT,2017,0.8484021437398707,0.7087388654066428,-0.036365717037428726,0.5881848136376198,0.9813942782163712,1.0189584575706347,0.16078131742027335,1.1723675388274586,-5.830407074193001,0.19712696514721528,0.0024812952065441443,0.0041400744490632385,0.006806980059532709,0.011572859247138748,0.012587294714810335,0.1369816055751583,-0.32360716612487794,-3.621329258214574,7.7216381451431975
AAT,2018,1.5351894266825727,1.244652178518205,0.0757213583097751,0.44091581373842303,0.6711288520667755,1.4900268360098794,0.2015384513768958,3.0237676542968934,-12.699622615098791,0.49825061830814965,0.04043853807817953,0.06155249776495413,0.049102851515431284,0.11136559403279185,0.08116103942929737,0.16899699091906542,-2.4174972100398815,-6.632541976496636,3.2729165812075176
AAT,2019,2.090810792019347,1.6511294942151842,0.12951480148086839,0.40422321445616155,0.5911229850991199,1.6916953412534268,0.1974448712447009,2.6306109235198183,-10.406088701310535,0.4932698108479849,0.03519355158131764,0.051465914185501394,0.03899892771996687,0.09647869376437393,0.07134746706030128,0.14558038089749506,-2.2432755266176923,-2.2432755266176923,10.36498278513451
AAT,2020,1.872119206329639,1.6726864386196594,0.1386422019101427,0.4100594375314979,0.5595666406298284,1.7870972416697952,0.10821229158908223,2.1351141240017966,-14.770244861042181,0.4951143984371722,0.024209938680942355,0.03303685470355371,0.02312359051898688,0.05639082631090692,0.04889766639257712,0.12573093837553417,-1.2714595664812078,-1.2714595664812078,17.733380860329465
AAT,2021,2.9664501599777036,2.6356623956787786,0.2329703011116102,0.39636069544723596,0.578838741555318,1.727596873203472,0.1967759843231843,2.23581470409807,-23.302376964137316,0.484506432291902,0.029503675979005738,0.04308669066107483,0.0338433940272998,0.08538534323922407,0.06089429161846622,0.12245206556362916,-3.2485920904620684,-3.2485920904620684,11.711611876974018
