Ticker,CompanyNameVi,CompanyNameEn
VHM,Công ty cổ phần Vinhomes,Vinhomes Joint Stock Company
ABT,Công ty cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Bentre Aquaproduct Import and Export Joint Stock Company
FLC,Công ty cổ phần Tập đoàn FLC,FLC Group Joint Stock Company
VNM,Công ty cổ phần Sữa Việt Nam,Vietnam Dairy Products Joint Stock Company
VCB,Ngân hàng TMCP Ngoại thương Việt Nam,Joint Stock Commercial Bank for Foreign Trade of Vietnam
VPB,Ngân hàng TMCP Việt Nam Thịnh vượng,Vietnam Prosperity Joint Stock Commercial Bank
CTG,Ngân hàng TMCP Công thương Việt Nam,Vietnam Joint Stock Commercial Bank for Industry and Trade
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Bank for Investment and Development of Vietnam JSC
